date,open,high,close,low,volume,price_change,p_change
2015-06-12,3889.155,3922.698,3899.705,3850.591,17990346.0,37.567,0.97
2015-06-11,3843.98,3884.371,3862.138,3815.06,17807538.0,27.439,0.72
2015-06-10,3695.064,3876.851,3834.699,3676.761,17571078.0,129.163,3.49
2015-06-09,3664.372,3793.365,3705.536,3633.724,16251063.0,0.983,0.03
2015-06-08,3862.801,3862.801,3704.553,3643.035,17872656.0,-181.279,-4.67
2015-06-05,3994.44,4037.959,3885.832,3841.415,18124738.0,-57.635,-1.46
2015-06-04,3991.797,4015.203,3943.467,3695.826,18215644.0,-38.784,-0.97
2015-06-03,3949.284,4011.039,3982.251,3838.224,19103064.0,80.708,2.07
2015-06-02,3757.104,3912.481,3901.543,3756.092,18436132.0,182.79,4.92
2015-06-01,3580.077,3722.864,3718.753,3580.077,15686813.0,175.909,4.96
2015-05-29,3444.062,3595.168,3542.844,3328.457,17368776.0,109.862,3.2
2015-05-28,3618.339,3677.325,3432.982,3432.982,20439582.0,-195.691,-5.39
2015-05-27,3638.21,3662.98,3628.673,3546.584,19933554.0,10.442,0.29
2015-05-26,3471.795,3619.485,3618.231,3471.795,18796696.0,150.315,4.33
2015-05-25,3415.668,3499.535,3467.916,3370.836,17747192.0,-48.711,-1.39
2015-05-22,3594.589,3618.236,3516.627,3438.566,22957870.0,-10.786,-0.31
2015-05-21,3421.611,3531.842,3527.413,3421.447,17986736.0,121.129,3.56
2015-05-20,3339.17,3471.949,3406.284,3339.17,18483626.0,83.51,2.51
2015-05-19,3310.091,3340.42,3322.774,3206.778,16484613.0,44.291,1.35
2015-05-18,3178.369,3286.408,3278.483,3178.369,16579559.0,133.148,4.23
2015-05-15,3109.114,3176.115,3145.335,3059.859,16278742.0,3.742,0.12
2015-05-14,3174.448,3228.031,3141.593,3137.275,18214778.0,-50.554,-1.58
2015-05-13,3185.342,3271.175,3192.147,3123.918,19555484.0,-58.149,-1.79
2015-05-12,3176.543,3254.99,3250.296,3133.964,20718040.0,103.466,3.29
2015-05-11,3015.433,3150.492,3146.83,2991.328,21111860.0,173.234,5.83
2015-05-08,2838.97,2974.367,2973.596,2838.97,16931098.0,167.549,5.97
2015-05-07,2824.82,2879.682,2806.047,2801.465,12371650.0,-40.511,-1.42
2015-05-06,2806.299,2927.026,2846.558,2806.299,14806440.0,63.115,2.27
2015-05-05,2830.794,2845.711,2783.443,2753.87,11942583.0,-61.809,-2.17
2015-05-04,2868.102,2884.442,2845.252,2803.817,13214881.0,-12.638,-0.44
2015-04-30,2825.161,2918.745,2857.89,2825.161,15267243.0,60.366,2.16
2015-04-29,2693.481,2798.515,2797.524,2674.757,13890635.0,109.55,4.08
2015-04-28,2764.406,2779.2,2687.974,2650.425,14416597.0,-59.523,-2.17
2015-04-27,2781.597,2806.755,2747.497,2737.148,13642036.0,12.747,0.47
2015-04-24,2689.907,2747.624,2734.75,2672.203,14680574.0,28.565,1.06
2015-04-23,2656.177,2718.263,2706.185,2656.177,15689521.0,71.254,2.7
2015-04-22,2610.738,2655.373,2634.931,2610.738,15618092.0,68.84,2.68
2015-04-21,2443.12,2566.091,2566.091,2443.12,13370884.0,141.243,5.83
2015-04-20,2462.406,2493.196,2424.848,2411.34,14085498.0,-39.142,-1.59
